Company,Industry,Founded,Number of Partners
3M,"Software, Automotive",1902,25
7-Eleven,Retail,1927,14
Abbott,"Healthcare, Pharmaceutical",1944,21
AB InBev,"Food and Beverage, Consumer Goods, ECommerce",1952,12
ABN AMRO Bank N.V.,"Banking, Financial Services",1991,18
Actemium,"Information Technology, Project Management",0,11
Adidas,Fashion,1920,22
ADT,"Consumer Goods, Cyber Security",1974,12
Aecom,"Management Consulting, Information Technology",1990,11
Aetna,Healthcare,1853,19
Aflac,"Healthcare, Insurance",1955,15
airasia,"Business Intelligence, ECommerce",2001,12
Airbus,Hardware,1970,15
Air France,Information Technology,1993,14
Air Liquide,"Healthcare, Logistics and Supply Chain",1902,12
Air New Zealand,Automotive,1940,14
Airtel,"Telecommunications, Internet, Public Relations",1995,13
Alaska Air Group,Customer Service,1932,15
Alghanim Industries,Information Technology,1932,22
Algonquin College,Information Technology,1967,26
Alibaba,"Internet, ECommerce",1999,52
Alight Solutions,"Management Consulting, Human Resources",2017,23
Allstate,"Finance, Insurance",1931,22
Alstom,Energy,1928,11
Altran,Information Technology,1982,18
AMD,"Software, Design, Graphic Design, Hardware",1969,38
América Móvil,"App Development, Telecommunications, Internet",2000,14
American Airlines,Customer Service,1930,16
American Express,"Finance, Financial Services, Consumer Goods",1850,75
AmerisourceBergen,"Healthcare, Pharmaceutical",2001,19
Amgen,"Healthcare, Pharmaceutical",1980,14
Aon plc,"Management Consulting, Financial Services",1919,16
APC by Schneider Electric,"Information Technology, Energy",1981,45
Appen,"Software, Software Technology, Social Media",2011,13
Aramco,Energy,1933,24
Aramex,"Logistics and Supply Chain, ECommerce",1982,38
Arcadis,"Management Consulting, Business Intelligence, Building Materials",1888,18
Aricent,"Design, Telecommunications",1991,16
Arizona State University,"Design, Education",1885,37
Arrow ECS,Information Technology,1934,31
ASSA ABLOY Group,"Building Materials, Cyber Security",1994,13
Asseco,Software,2004,11
ASUS,Hardware,1990,41
Atrium,Healthcare,1940,29
Australia Post,"Banking, Financial Services",1809,27
Avanade,"Software, Information Technology, Business Intelligence, Customer Relationship Management",2000,66
Avere Systems,Software,2008,55
Avis Budget Group,,1946,18
Aviva,"Finance, Insurance",2000,13
Avnet,"Software, Information Technology, Hardware",1921,52
AXA,"Financial Services, Insurance",1958,31
BAE Systems,"Software, Design",1997,37
"Baidu (China) Co., Ltd.","Social Media, Internet, Media Production",1999,17
Bain & Company,"Management Consulting, Information Technology, Internet",1973,19
Banco Santander,"Finance , Banking, Financial Services",1857,11
Barclaycard,Financial Services,1966,12
Barclays,"Accounting, Banking, Financial Services, Insurance",1800,19
Barloworld,Business Communications,1902,11
Baxter International,Pharmaceutical,1931,12
Bayer,"Design, Healthcare, Agriculture",1863,13
BBC,Broadcasting,1922,31
BB&T,"Banking, Financial Services",1872,14
BCD Travel,,2006,12
Bed Bath & Beyond,"Retail, ECommerce",1971,23
Bell Canada,Telecommunications,1880,20
Best Buy,"Internet, Retail, ECommerce",1966,43
Birlasoft,"Software, Information Technology, App Development",1990,44
Black &amp; Veatch,"Software, Management Consulting",1915,18
BlackRock,Financial Services,1988,25
Blue Dart,Logistics and Supply Chain,1983,22
BMW Group,"Software, Software Technology, Information Technology, Automotive, Artificial Intelligence , Financial Services, Cyber Security",1916,18
BNY Mellon,"Banking, Financial Services",1784,29
Boehringer Ingelheim,Healthcare,1973,11
Boeing,Automotive,1916,18
Booz Allen Hamilton,Management Consulting,1914,52
Bosch,"Automotive, Internet, Consumer Goods",1886,32
Boston Consulting Group,"Management Consulting, Information Technology",1963,49
Bridgestone,"Automotive, Retail",1931,15
Bristol Myers Squibb,Pharmaceutical,1986,20
Broadridge,"Information Technology, Finance",1962,34
Brother Industries,"Information Technology, Retail",1908,47
Brunel Univercity Londan,Education,1966,48
BT Global Services,"Telecommunications, Customer Service",1989,34
BT Group,"Information Technology, Telecommunications, Internet",1980,51
Burberry,"Design, Marketing, Retail, Logistics and Supply Chain, Fashion",1856,11
Cabelas,Retail,1961,14
CACI,Software,1962,18
Canada Post,Package/Freight Delivery ,1981,55
Capital One,"Finance, Financial Services",1994,53
Cardinal Health,Healthcare,1971,17
Cargill,"Financial Services, Agriculture, Food and Beverage",1865,13
Carlson Wagonlit Travel (CWT),Event Management,1994,21
Carnegie Mellon University,Education,1900,19
Catavolt Inc.,"Software, Information Technology",1992,14
CaterPillar,"Financial Services, Building Materials",1925,11
Cathay Pacific Airways,Customer Service,1946,20
