Company,Industry,Founded,Number of Partners
[24]7.ai,Software,2000,10
AbbVie,Pharmaceutical,2013,6
ABC,"Social Media, Media Production",1946,9
Academy Sports Outdoors,Retail,1938,7
ACCOR HOTELS,"Publishing , Public Relations",1967,6
Adecco,"Recruiting, Human Resources",1996,8
Agilent Technologies,Pharmaceutical,1999,6
Airgas,"Energy, Healthcare, Retail",1982,8
Akka Technologies,"Software, Information Technology, Healthcare",1984,6
Algar Tech,"Information Technology, Telecommunications",1999,7
Alibaba Group,"Information Technology, Social Media, Internet, ECommerce",1999,8
Alitalia,Automotive,1946,7
Allegis Group,"Recruiting, Human Resources",1983,7
Allianz,"Financial Services, Insurance",1890,9
Almaviva Spa,"Information Technology, Customer Relationship Management",2005,10
Alorica,"Information Technology, Social Media",1999,7
American International Group,"Finance, Insurance",1919,7
Amtrak,Customer Service,1971,10
Ascension,Healthcare,1999,9
Assurant,"Information Technology, Finance, Insurance, Customer Service",1892,10
AstraZeneca,"Healthcare, Pharmaceutical",1999,10
Atom,Software,2000,6
AutoNation,"Automotive, Retail, Consumer Goods",1996,6
AutoZone,"Automotive, Retail, ECommerce",1979,7
Avery Dennison,"Information Technology, Package/Freight Delivery ",1935,10
Baker Hughes,Energy,1972,8
Bank of Montreal (BMO),"Banking, Financial Services",1817,8
BASF,Agriculture,1865,10
BBDO,"Marketing, Social Media, Advertising",1891,7
BBVA,"Banking, Financial Services",1968,7
Bechtel,"Project Management, Energy",1898,10
Bell,Information Technology,1880,8
Berkshire Hathaway HomeServices,"Retail, Customer Service",2012,9
Bertelsmann SE & Co. KGaA,Media Production,1835,6
BJ's Wholesale Club,"Retail, ECommerce",1984,6
BNP Paribas,"Banking, Financial Services, Insurance",1848,9
Boston Scientific,"Design, Healthcare",1979,9
Bring,Logistics and Supply Chain,2005,6
British Airways,Customer Service,1919,6
Builderall,"Marketing, Advertising",2017,8
Burlington Coat Factory,"Retail, ECommerce",1972,10
ByteDance,"Artificial Intelligence , Internet",2012,6
Caesars Entertainment,Marketing,1937,7
CARE,"Education, Healthcare",1945,9
Carrefour,"Food and Beverage, Retail, ECommerce",1959,8
Celestica,"Marketing, Logistics and Supply Chain",1994,8
CEVA Logistics,Logistics and Supply Chain,2011,6
CFAO,Information Technology,1887,9
Chipotle Mexican Grill,Food and Beverage,1993,6
CIBC,"Banking, Financial Services",1867,8
Comdata Group,"Software, Telecommunications",1987,8
Corning,Telecommunications,1851,7
Correos,"Logistics and Supply Chain, ECommerce",1916,6
Cox Business,"Telecommunications, Internet, Cyber Security",1962,8
Cox Enterprises,Telecommunications,1898,8
Credit Suisse,"Banking, Financial Services",1856,7
CSX,"Logistics and Supply Chain, Building Materials",1827,6
Cubic Corporation,Information Technology,1951,7
DANONE,"Food and Beverage, Consumer Goods",1919,8
Delhivery,"Logistics and Supply Chain, Package/Freight Delivery ",2011,10
Dentsu Aegis Network,"Marketing, Advertising",1968,9
Deutsche Bank,"Finance, Banking, Financial Services",1870,9
Dignity Health,Healthcare,1954,6
DIRECTV,Telecommunications,1990,9
Discover Global Network,Financial Services,1985,9
DJI,Consumer Goods,2006,8
DNP Dainippon Printing Co.,"Digital Marketing, Printing",1876,6
DNV GL,Project Management,1864,10
Dollar Tree,"Food and Beverage, Retail, ECommerce",1986,9
Duke Energy Corporation,"Energy, Hardware, Customer Service",1904,6
Duke University,Education,1838,7
Edelman Digital,Advertising,1952,9
Elbit Systems,Cyber Security,1967,6
Equinox,"Healthcare, Food and Beverage",1991,6
ESTEE LAUDER,Retail,1946,6
FESTO,Automotive,1925,10
Fidelity National Financial,Financial Services,1847,7
Fiverr,Internet,2010,10
Flipkart,"Internet, Retail, ECommerce",2007,10
FNCA,"Retail, ECommerce",1954,9
FredMeyer,"Retail, Consumer Goods",1922,7
Frontier Communications,"Telecommunications, Internet, Customer Service",1935,8
Gallagher,Insurance,1927,6
GE Healthcare,Healthcare,1994,10
GEICO,Insurance,1936,7
Geodis,Logistics and Supply Chain,1904,10
GlobalFoundries,Hardware,1987,9
Global Medical Response,Healthcare,2018,6
Grainger,Logistics and Supply Chain,1927,9
Groupe BPCE,Banking,2009,8
Halliburton,Energy,1919,7
Harvard University,Education,1800,10
Henkel,Consumer Goods,1876,8
Hibu,"Digital Marketing, Marketing, Social Media, Advertising",2012,7
Hillrom,Healthcare,1929,9
Hubbell Incorporated,"Telecommunications, Building Materials",1888,7
Huntington National Bank,"Finance, Social Media, Banking, Financial Services, Insurance",1866,10
HYATT,Public Relations,1957,8
I-9 Advantage,"Software, Information Technology, Human Resources",2007,8
ICICI Bank,Banking,1994,6
IEEE,"Social Media, Education, Publishing ",1884,8
INSTYLE,"Publishing , Fashion",1994,10
Interpublic Group of Companies,"Digital Marketing, Advertising",0,6
iOCO,Software,2000,9
Ipsos,"Advertising, Market Research",1975,8
Japan Airlines (JAL),Internet,1951,9
J.CREW,Retail,1983,8
Jones Lang LaSalle,Financial Services,0,6
J.R. Simplot,Food and Beverage,1955,6
Kaiser Permanente,Healthcare,1945,9
KLM Royal Dutch Airlines KLM Royal Dutch Airlines,Automotive,1919,8
KMart,"Automotive, Internet, Retail, ECommerce",1962,6
Korber AG,Information Technology,1995,8
KPIT,"Software, Information Technology",1990,6
Kraft Heinz,Food and Beverage,2015,6
Leonardo,Cyber Security,1948,6
Lexus,Automotive,1989,8
Liberty Global,"Information Technology, Telecommunications, Internet",2004,6
Live Nation Entertainment,"Digital Marketing, ECommerce",2005,7
LOEWS,Hardware,1946,7
Magna International,Automotive,1957,6
Manheim,Automotive,1945,6
ManpowerGroup,Human Resources,1948,8
Marriott Employees' Federal Credit Union,"Banking, Internet, Financial Services",1953,7
Marsh & McLennan Companies,Financial Services,1871,6
Mayo Clinic,"Education, Healthcare",1919,6
McCANN,"Marketing, Advertising",1902,9
McGill University,"Education, Public Relations",1821,6
Medline Industries,"Healthcare, Consumer Goods",1966,8
Medtronic,Healthcare,1949,6
Michelin,Automotive,1889,9
MooDYS,Financial Services,1900,10
New York University,Education,1831,8
